SensorType,Data,DateTime,SerialNumber,HubName
Soil Temperature (°C),24.4,2020-01-31 1:38:15 AM,559023,hub1
Soil Temperature (°C),24.52,2020-01-31 1:38:16 AM,559023,hub1
Soil Temperature (°C),24.79,2020-01-31 1:38:17 AM,559023,hub1
Soil Temperature (°C),24.91,2020-01-31 1:38:18 AM,559023,hub1
Soil Temperature (°C),24.95,2020-01-31 1:38:19 AM,559023,hub1
Soil Temperature (°C),25.02,2020-01-31 1:38:20 AM,559023,hub1
Soil Temperature (°C),26.92,2020-01-31 1:38:21 AM,559023,hub1
Soil Temperature (°C),27.75,2020-01-31 1:38:22 AM,559023,hub1
Soil Temperature (°C),28.1,2020-01-31 1:38:23 AM,559023,hub1
Soil Temperature (°C),28.25,2020-01-31 1:38:24 AM,559023,hub1
Soil Temperature (°C),28.27,2020-01-31 1:38:25 AM,559023,hub1
Soil Temperature (°C),28.41,2020-01-31 1:38:26 AM,559023,hub1
Soil Temperature (°C),28.41,2020-01-31 1:38:27 AM,559023,hub1
Soil Temperature (°C),28.46,2020-01-31 1:38:28 AM,559023,hub1
Soil Temperature (°C),28.52,2020-01-31 1:38:29 AM,559023,hub1
Soil Temperature (°C),28.59,2020-01-31 1:38:30 AM,559023,hub1
